# Evaluating Accuracy 
Root Mean Squared Error (RMSE) on testSevere data = 5.92071
Root Mean Squared Error (RMSE) on testMinor data = 5.99539

# Prediction of the next week for Sever Crime 
+----+--------------------+-----+------------------+
|Beat|            features|label|        prediction|
| 424|[2.0,2.0,1.0,2.0,...|    1|  4.92823071495289|
|1824|[1.0,2.0,2.0,1.0,...|    2|  4.92823071495289|
|2522|[2.0,1.0,2.0,2.0,...|    3|  4.92823071495289|
| 222|[3.0,2.0,1.0,2.0,...|    3| 4.934778042848654|
|1613|[3.0,3.0,2.0,1.0,...|    1| 4.941030561680613|
|1422|[1.0,3.0,3.0,2.0,...|    4| 4.946712352344486|
| 722|[4.0,1.0,3.0,3.0,...|    2| 5.376686375564974|
| 314|[2.0,4.0,1.0,3.0,...|    1| 5.069062234520764|
| 624|[1.0,2.0,4.0,1.0,...|    3| 5.062469883424761|
| 433|[3.0,1.0,2.0,4.0,...|    4|5.0729685946725365|
|1913|[4.0,3.0,1.0,2.0,...|    3| 5.386024272123981|
|1222|[3.0,4.0,3.0,1.0,...|    3| 5.087838680976166|
|1034|[3.0,3.0,4.0,3.0,...|    2| 5.075269730152486|
| 235|[2.0,3.0,3.0,4.0,...|    1| 5.072582306402736|
|2534|[1.0,2.0,3.0,3.0,...|    4| 4.940459833512526|
| 723|[4.0,1.0,2.0,3.0,...|    7| 5.379771753292021|
|2513|[7.0,4.0,1.0,2.0,...|    1|7.0155836180796145|
| 533|[1.0,7.0,4.0,1.0,...|    1| 5.611918786408256|
| 714|[1.0,1.0,7.0,4.0,...|    1| 6.071159290138467|
|2234|[1.0,1.0,1.0,7.0,...|    3| 5.491942453247907|
|1914|[3.0,1.0,1.0,1.0,...|    2| 4.934778042848654|
| 414|[2.0,3.0,1.0,1.0,...|    2|4.9344832337848485|
|2011|[2.0,2.0,3.0,1.0,...|    1| 4.940459833512526|
|1413|[1.0,2.0,2.0,3.0,...|    1|  4.92823071495289|
|1212|[1.0,1.0,2.0,2.0,...|    1|  4.92823071495289|
|2032|[1.0,1.0,1.0,2.0,...|    1|  4.92823071495289|
|2515|[1.0,1.0,1.0,1.0,...|    1|  4.92823071495289|
|1134|[1.0,1.0,1.0,1.0,...|    1|  4.92823071495289|
|2213|[1.0,1.0,1.0,1.0,...|    1|  4.92823071495289|
| 913|[1.0,1.0,1.0,1.0,...|    1|  4.92823071495289|
| 333|[1.0,1.0,1.0,1.0,...|    1|  4.92823071495289|
|1834|[1.0,1.0,1.0,1.0,...|    1|  4.92823071495289|
| 133|[1.0,1.0,1.0,1.0,...|    1|  4.92823071495289|
|1115|[1.0,1.0,1.0,1.0,...|    1|  4.92823071495289|
| 225|[1.0,1.0,1.0,1.0,...|    1|  4.92823071495289|
|2022|[1.0,1.0,1.0,1.0,...|    1|  4.92823071495289|
| 834|[1.0,1.0,1.0,1.0,...|    1|  4.92823071495289|
| 434|[1.0,1.0,1.0,1.0,...|    1|  4.92823071495289|
|2525|[1.0,1.0,1.0,1.0,...|    2|  4.92823071495289|
|1723|[2.0,1.0,1.0,1.0,...|    1|  4.92823071495289|
|1023|[1.0,2.0,1.0,1.0,...|    1|  4.92823071495289|
|1813|[1.0,1.0,2.0,1.0,...|    1|  4.92823071495289|
|1114|[1.0,1.0,1.0,2.0,...|    1|  4.92823071495289|
| 421|[1.0,1.0,1.0,1.0,...|    9|  4.92823071495289|
|1512|[9.0,1.0,1.0,1.0,...|    4|   8.0408710090369|
| 522|[4.0,9.0,1.0,1.0,...|    1|  7.54687977773122|
| 822|[1.0,4.0,9.0,1.0,...|    6| 7.055297579892438|
| 411|[6.0,1.0,4.0,9.0,...|    2| 6.984315152158856|
| 511|[2.0,6.0,1.0,4.0,...|    5| 5.490332167216054|
| 612|[5.0,2.0,6.0,1.0,...|    3| 6.056139633392799|
|1122|[3.0,5.0,2.0,6.0,...|    8| 5.657770853122766|
| 422|[8.0,3.0,5.0,2.0,...|    3| 7.922700335621251|
|1121|[3.0,8.0,3.0,5.0,...|    5| 7.204631197236734|
| 611|[5.0,3.0,8.0,3.0,...|    4| 6.729619395341266|
|2211|[4.0,5.0,3.0,8.0,...|    1|  6.75840146440504|
| 731|[1.0,4.0,5.0,3.0,...|    2| 5.325098532279906|
| 632|[2.0,1.0,4.0,5.0,...|    3| 5.198475140068042|
| 711|[3.0,2.0,1.0,4.0,...|    3|5.0729685946725365|
| 621|[3.0,3.0,2.0,1.0,...|    5| 4.941030561680613|
| 932|[5.0,3.0,3.0,2.0,...|    4| 5.524995703175473|
|1112|[4.0,5.0,3.0,3.0,...|    2| 5.705614907181756|
|1623|[2.0,4.0,5.0,3.0,...|    1| 5.325098532279906|
| 431|[1.0,2.0,4.0,5.0,...|    2| 5.198475140068042|
|1211|[2.0,1.0,2.0,4.0,...|    3| 5.054100669011139|
| 122|[3.0,2.0,1.0,2.0,...|    4| 4.934778042848654|
| 321|[4.0,3.0,2.0,1.0,...|    2| 5.386024272123981|
|1411|[2.0,4.0,3.0,2.0,...|    2| 5.081291353080402|
|1531|[2.0,2.0,4.0,3.0,...|    9| 5.062469883424761|
| 931|[9.0,2.0,2.0,4.0,...|    2| 7.969853466642715|
| 111|[2.0,9.0,2.0,2.0,...|    2| 7.311004275096407|
|1524|[2.0,2.0,9.0,2.0,...|    2|  6.93684074664025|
| 412|[2.0,2.0,2.0,9.0,...|    2| 6.274379173474256|
|1031|[2.0,2.0,2.0,2.0,...|    4|  4.92823071495289|
| 311|[4.0,2.0,2.0,2.0,...|    2| 5.379771753292021|
|2222|[2.0,4.0,2.0,2.0,...|    4| 5.069062234520764|
