# Evaluating Accuracy 
Root Mean Squared Error (RMSE) on testSevere data = 5.92071
Root Mean Squared Error (RMSE) on testMinor data = 5.99539

# Prediction of the next week for Sever Crime 
+----+--------------------+-----+------------------+
|Beat|            features|label|        prediction|
|1421|[1.0,4.0,2.0,4.0,...|    3| 5.103916458332134|
| 323|[3.0,1.0,4.0,2.0,...|    1| 5.057999353123129|
| 812|[1.0,3.0,1.0,4.0,...|    1| 4.975139555870955|
| 933|[1.0,1.0,3.0,1.0,...|    2| 4.903941977218399|
|1731|[2.0,1.0,1.0,3.0,...|    1| 4.909822878377705|
| 512|[1.0,2.0,1.0,1.0,...|    1| 4.885303062695135|
| 531|[1.0,1.0,2.0,1.0,...|    1| 4.885303062695135|
|1632|[1.0,1.0,1.0,2.0,...|    3| 4.885303062695135|
| 732|[3.0,1.0,1.0,1.0,...|    2| 4.913835094604302|
|1511|[2.0,3.0,1.0,1.0,...|    2|4.9018215708907995|
| 724|[2.0,2.0,3.0,1.0,...|    1| 4.903941977218399|
| 432|[1.0,2.0,2.0,3.0,...|    2| 4.909822878377705|
| 824|[2.0,1.0,2.0,2.0,...|    4| 4.885303062695135|
| 221|[4.0,2.0,1.0,2.0,...|    1| 5.404389298111973|
| 813|[1.0,4.0,2.0,1.0,...|    1|5.0286471544114555|
| 131|[1.0,1.0,4.0,2.0,...|    2| 5.029467321213962|
|1412|[2.0,1.0,1.0,4.0,...|    1| 4.958621047675291|
| 331|[1.0,2.0,1.0,1.0,...|    1| 4.885303062695135|
| 623|[1.0,1.0,2.0,1.0,...|    1| 4.885303062695135|
| 413|[1.0,1.0,1.0,2.0,...|    1| 4.885303062695135|
|1831|[1.0,1.0,1.0,1.0,...|    1| 4.885303062695135|
|1032|[1.0,1.0,1.0,1.0,...|    1| 4.885303062695135|
|2221|[1.0,1.0,1.0,1.0,...|    1| 4.885303062695135|
|1612|[1.0,1.0,1.0,1.0,...|    1| 4.885303062695135|
| 633|[1.0,1.0,1.0,1.0,...|    1| 4.885303062695135|
| 132|[1.0,1.0,1.0,1.0,...|    1| 4.885303062695135|
| 211|[1.0,1.0,1.0,1.0,...|    1| 4.885303062695135|
|1732|[1.0,1.0,1.0,1.0,...|    1| 4.885303062695135|
+----+--------------------+-----+------------------+

