1505, nu,1.0
1568, nu,1.0909090909090908
1575, nu,1.0
1582, nu,1.0
1589, nu,1.05
1603, nu,1.0
1610, nu,1.0
1624, nu,1.069767441860465
1631, chi,1.0
1631, nu,1.0
1638, nu,1.0394366197183098
1645, chi,1.0
1645, nu,1.071917808219178
1652, nu,1.1370558375634519
1659, nu,1.098159509202454
1666, nu,1.28
1672, chi,1.0
1673, nu,1.6122448979591837
1684, nu,1.7942196531791907
1685, chi,1.0
1691, nu,1.4901960784313726
1692, chi,1.0
1698, nu,2.038216560509554
1699, chi,1.6666666666666667
1704, chi,1.0
1705, nu,2.4056064073226544
1710, chi,1.0
1712, nu,2.158125
1717, chi,2.0
1719, nu,2.814123917388408
1724, chi,1.3181818181818181
1726, nu,3.081717451523546
1730, chi,1.1818181818181819
1733, nu,2.4772602739726026
1737, chi,1.1111111111111112
1740, nu,2.686211512717537
1744, chi,1.2857142857142858
1747, nu,2.9823759791122715
1751, chi,1.25
1754, nu,3.480551233607468
1758, chi,1.0869565217391304
1761, nu,3.487472160356347
1764, chi,1.0952380952380953
1768, nu,4.554862306368331
1769, haw,1.0
1771, chi,1.1904761904761905
1775, nu,3.800975426749203
1776, haw,1.0
1778, chi,1.6111111111111112
1782, haw,1.0
1782, nu,3.637241379310345
1784, chi,1.4285714285714286
1789, haw,2.0
1789, nu,4.183735705209657
1791, chi,2.0
1796, haw,1.0
1796, nu,4.570641282565131
1798, chi,1.8
1801, haw,1.0
1803, chi,1.8854166666666667
1803, nu,5.404587216603874
1808, haw,1.6
1810, nu,5.944511338551074
1814, haw,2.263157894736842
1816, chi,2.5806451612903225
1817, nu,6.241579272054287
1821, haw,5.25
1823, chi,2.3969465648854964
1824, nu,6.494687193619333
1828, haw,1.4285714285714286
1830, chi,3.09375
1831, nu,6.0432381595447096
1835, haw,2.0
1837, chi,3.1083743842364533
1838, nu,7.2310902189487445
1841, haw,3.0
1843, chi,2.9648241206030153
1845, nu,7.395905338917578
1848, haw,2.5294117647058822
1850, chi,3.161290322580645
1852, nu,7.240747296601442
1855, haw,2.230769230769231
1857, chi,3.869281045751634
1859, nu,7.416117249427848
1861, haw,1.16
1863, chi,3.380281690140845
1866, nu,7.201792787158641
1868, haw,1.6578947368421053
1870, chi,3.621301775147929
1873, nu,7.2366860013942045
1875, haw,1.7
1877, chi,3.7241379310344827
1880, nu,8.002183288699598
1882, haw,1.588235294117647
1884, chi,3.357894736842105
1887, nu,8.13672969187675
1888, haw,1.5857142857142856
1890, chi,3.5017123287671232
1894, nu,8.239236837727324
1895, haw,3.090909090909091
1897, chi,3.6761229314420802
1900, haw,3.8947368421052633
1902, chi,4.155102040816327
1905, nu,9.036181215038377
1907, haw,3.8217821782178216
1909, chi,3.9255514705882355
1912, nu,8.699887342434645
1914, haw,4.095588235294118
1916, chi,4.011565836298932
1919, nu,7.992521656241862
1920, haw,3.83206106870229
1922, chi,4.239007092198581
1926, nu,7.2096870530832
1927, haw,3.727272727272727
1929, chi,3.3130434782608695
1933, nu,6.65822732012513
1934, haw,2.954887218045113
1936, chi,3.330199764982374
1940, haw,3.654970760233918
1940, nu,7.173820304606519
1942, chi,3.178336325553561
1947, haw,3.117948717948718
1947, nu,7.689052320440754
1949, chi,3.9977252047315743
1954, haw,2.9320388349514563
1954, nu,8.273959207620662
1956, chi,4.2403232666950235
1961, haw,3.5588235294117645
1961, nu,10.113247702695842
1963, chi,4.968777876895629
1968, nu,12.20216457459901
1969, chi,5.788317757009346
1974, haw,4.210126582278481
1975, nu,12.622475008120105
1976, chi,5.819395931785494
1981, haw,4.169047619047619
1982, nu,13.563229057776242
1983, chi,6.159570529433543
1988, haw,5.426966292134831
1989, nu,15.449834011326287
1994, haw,5.807625649913345
1996, chi,8.348123840776145
1996, nu,17.748359494789366
2003, haw,9.515966386554622
2004, nu,24.206650399619015
2005, chi,11.361725067385445
1507, nu,1.0
1563, nu,1.0
1584, nu,1.0
1598, nu,1.1333333333333333
1605, nu,1.0
1612, nu,1.0
1619, nu,1.0
1626, nu,1.0
1640, nu,1.1875
1647, nu,1.3072916666666667
1648, chi,1.0
1654, nu,1.303030303030303
1661, nu,1.2463768115942029
1668, nu,1.3018867924528301
1675, chi,1.0
1675, nu,1.6255458515283843
1679, nu,1.530612244897959
1686, nu,1.8627450980392157
1693, nu,1.5949764521193093
1695, chi,2.75
1700, chi,1.0
1700, nu,1.953813855843247
1707, chi,1.0
1707, nu,2.2273255813953488
1713, chi,1.0
1714, nu,2.755434782608696
1720, chi,1.4615384615384615
1721, nu,2.488482922954726
1727, chi,1.1538461538461537
1728, nu,3.3233151183970855
1733, chi,2.0
1735, nu,3.0746587030716723
1740, chi,1.0
1742, nu,3.1676408076514346
1747, chi,1.0
1749, nu,3.411073825503356
1754, chi,2.3157894736842106
1756, nu,2.660647571606476
1759, haw,1.0
1760, chi,1.0
1763, nu,3.025817895151754
1767, chi,1.5
1770, nu,3.214227576102881
1774, chi,1.5517241379310345
1777, nu,3.562488888888889
1780, chi,1.105263157894737
1784, nu,3.534438193705337
1785, haw,3.0
1787, chi,2.0869565217391304
1791, nu,4.614023843097039
1792, haw,1.0
1794, chi,2.2950819672131146
1798, nu,4.16590595478187
1799, haw,1.0
1805, nu,4.786462984723855
1806, chi,2.236111111111111
1810, haw,1.9090909090909092
1812, chi,2.255813953488372
1812, nu,5.0094982448895315
1817, haw,1.5
1819, chi,2.4859154929577465
1819, nu,5.604121776603878
1824, haw,3.7777777777777777
1826, chi,2.671232876712329
1826, nu,6.545077226644893
